config_name,MAE,MSE,RMSE,R2,kalman_enabled,anomaly_enabled,llm_enabled,model_type
baseline (residual_linear),7.373071796671868,81.94946041649422,9.052594126353739,-0.27933683824623556,False,False,False,residual_linear
real_gb,5.300676043586282,42.68489575823288,6.533367872562579,0.3336336895609796,False,False,False,real_gb
+kalman,6.578125104816931,65.77394506949253,8.110113751945315,-0.02681616811780252,True,False,False,real_gb
+anomaly,6.698198660968514,68.35316822228089,8.267597487921197,-0.06708117018919668,True,True,False,real_gb
+llm,6.636023706796224,67.17087379596231,8.195783903688671,-0.048624028365989114,True,True,True,real_gb
