metric,count,mean,std,min,max
MAE,1,6.635687063348048,0.0,6.635687063348048,6.635687063348048
MSE,1,67.00187671515162,0.0,67.00187671515162,67.00187671515162
RMSE,1,8.185467409693329,0.0,8.185467409693329,8.185467409693329
R2,1,-0.0459857658327353,0.0,-0.0459857658327353,-0.0459857658327353
