config_name,MAE,MSE,RMSE,R2,kalman_enabled,anomaly_enabled,llm_enabled,model_type
baseline (residual_linear),7.870473395688209,87.41419934516867,9.349556104177816,-0.7233104178392378,False,False,False,residual_linear
real_gb,5.624972444576851,44.96611523564154,6.7056778356584905,0.11352417094896616,False,False,False,real_gb
+kalman,6.297116177221474,58.470707346282815,7.646614109936686,-0.1527095124488782,True,False,False,real_gb
+anomaly,6.501181756748796,62.36884327978053,7.897394714700572,-0.2295585634574473,True,True,False,real_gb
+llm,6.410912513626985,60.637063319096086,7.786980372332788,-0.19541772055081186,True,True,True,real_gb
